scope,weighting,a,b,a_less_pct,ties_pct,a_greater_pct,a_auc
India,person_weight,ST,Brahmin,69.16696880187399,0.018727373560329337,30.81430382456569,0.3082366751134586
India,person_weight,ST,Forward/General,68.1279123044173,0.021867443687403613,31.8502202518953,0.31861153973739004
India,person_weight,ST,OBC,59.365475104535435,0.020639745529803164,40.61388514993477,0.40624205022699666
India,person_weight,ST,SC,58.509712188445896,0.020173360772200433,41.470114450781914,0.41480201131168015
India,person_weight,ST,ST,49.96292180829913,0.07415638340184594,49.962921808299015,0.4999999999999994
India,person_weight,ST,Others,67.06935087758337,0.019376466899797568,32.91127265551682,0.3292096088896672
India,person_weight,Others,Brahmin,52.35797313894033,0.03326977640577157,47.608757084653895,0.47625391972856784
India,person_weight,Others,Forward/General,50.462944001706724,0.038681647756674126,49.498374350536594,0.49517715174414934
India,person_weight,Others,OBC,40.85740654968847,0.032930042296098555,59.10966340801542,0.5912612842916347
India,person_weight,Others,SC,39.116934288589334,0.030968243055044278,60.85209746835562,0.6086758158988315
India,person_weight,Others,ST,32.911272655516946,0.019376466899797527,67.06935087758326,0.6707903911103316
India,person_weight,Others,Others,49.80953576784161,0.38092846431685695,49.80953576784153,0.49999999999999956
Rural India,weight,Brahmin,Brahmin,49.905714693764835,0.18857061247035115,49.90571469376481,0.49999999999999983
Rural India,weight,Brahmin,Forward/General,49.026902801492554,0.023014645335001926,50.950082553172436,0.5096158987583994
Rural India,weight,Brahmin,OBC,42.240048721346255,0.019894633678492625,57.74005664497523,0.5775000396181448
Rural India,weight,Brahmin,SC,41.174646482745416,0.01810138993712488,58.807252127317454,0.5881630282228602
Rural India,weight,Brahmin,ST,37.384143076523365,0.017751654485647146,62.59810526899099,0.6260698109623382
Rural India,weight,Brahmin,Others,54.882907761084375,0.011274196128648793,45.10581804278697,0.451114551408513
Rural India,weight,Forward/General,Brahmin,50.950082553172635,0.02301464533500199,49.026902801492355,0.4903841012415986
Rural India,weight,Forward/General,Forward/General,49.96606132457977,0.06787735084079945,49.96606132457943,0.4999999999999982
Rural India,weight,Forward/General,OBC,42.956506286850995,0.02532810982547363,57.01816560332353,0.5703082965823627
Rural India,weight,Forward/General,SC,41.87415852265718,0.025198925835525233,58.100642551507285,0.5811324201442505
Rural India,weight,Forward/General,ST,37.889079958151775,0.02314585230973548,62.08777418953849,0.6209934711569336
Rural India,weight,Forward/General,Others,55.787562762096,0.017612078773438688,44.19482515913055,0.44203631198517274
Rural India,weight,OBC,Brahmin,57.7400566449755,0.01989463367849298,42.240048721346,0.4224999603818525
Rural India,weight,OBC,Forward/General,57.01816560332389,0.02532810982547373,42.95650628685063,0.4296917034176337
Rural India,weight,OBC,OBC,49.97738269331226,0.045234613375897174,49.97738269331183,0.49999999999999784
Rural India,weight,OBC,SC,49.2357551622207,0.025195620759140717,50.73904921702015,0.5075164702739972
Rural India,weight,OBC,ST,44.487728854409404,0.023577953481340067,55.48869319210924,0.5550048216884991
Rural India,weight,OBC,Others,62.038833296999464,0.019130596017092178,37.94203610698343,0.37951601404991975
Rural India,weight,SC,Brahmin,58.807252127317476,0.018101389937124814,41.174646482745395,0.4118369717771395
Rural India,weight,SC,Forward/General,58.10064255150738,0.025198925835525368,41.87415852265708,0.41886757985574846
Rural India,weight,SC,OBC,50.73904921702035,0.02519562075914064,49.2357551622205,0.4924835297260007
Rural India,weight,SC,SC,49.96908968796953,0.061820624060906854,49.96908968796956,0.5000000000000001
Rural India,weight,SC,ST,44.86335014982459,0.023923224907896862,55.11272662526751,0.5512468823772146
Rural India,weight,SC,Others,63.23537996799244,0.020374380769138917,36.74424565123841,0.36754432841622975
Rural India,weight,ST,Brahmin,62.59810526899109,0.017751654485647365,37.384143076523245,0.3739301890376607
Rural India,weight,ST,Forward/General,62.087774189538656,0.023145852309735728,37.88907995815159,0.37900652884306457
Rural India,weight,ST,OBC,55.488693192109515,0.023577953481340175,44.48772885440914,0.4449951783114981
Rural India,weight,ST,SC,55.112726625267584,0.023923224907896886,44.86335014982452,0.4487531176227847
Rural India,weight,ST,ST,49.95396441340067,0.09207117319876465,49.953964413400556,0.49999999999999933
Rural India,weight,ST,Others,66.21493837784114,0.0215238911566993,33.76353773100215,0.337742996765805
Rural India,weight,Others,Brahmin,45.105818042786986,0.011274196128648911,54.882907761084375,0.548885448591487
Rural India,weight,Others,Forward/General,44.1948251591308,0.01761207877343885,55.78756276209577,0.5579636880148249
Rural India,weight,Others,OBC,37.94203610698367,0.019130596017092022,62.03883329699924,0.6204839859500779
Rural India,weight,Others,SC,36.74424565123841,0.02037438076913899,63.23537996799244,0.6324556715837701
Rural India,weight,Others,ST,33.76353773100226,0.021523891156699056,66.21493837784105,0.662257003234194
Rural India,weight,Others,Others,49.64495915996739,0.7100816800652154,49.64495915996739,0.5
Rural India,person_weight,Brahmin,Brahmin,49.88234499474182,0.23531001051635725,49.8823449947418,0.4999999999999998
Rural India,person_weight,Brahmin,Forward/General,50.77895796045897,0.012957931822074989,49.20808410771895,0.4921456307362999
Rural India,person_weight,Brahmin,OBC,42.96481484174971,0.011061500888529533,57.02412365736175,0.5702965440780601
Rural India,person_weight,Brahmin,SC,41.99755330061304,0.011218752560105013,57.99122794682684,0.579968373231069
Rural India,person_weight,Brahmin,ST,37.04792041001917,0.012128478089862883,62.939951111890956,0.6294601535093589
Rural India,person_weight,Brahmin,Others,55.35525448341129,0.007621349279690057,44.63712416730901,0.44640934841948854
Rural India,person_weight,Forward/General,Brahmin,49.20808410771894,0.012957931822074898,50.778957960458996,0.5078543692637003
Rural India,person_weight,Forward/General,Forward/General,49.97072034795684,0.05855930408628156,49.97072034795688,0.5000000000000002
Rural India,person_weight,Forward/General,OBC,41.90473161910717,0.013708027175977487,58.08156035371685,0.5808841436730484
Rural India,person_weight,Forward/General,SC,40.90374552613874,0.014527355969643288,59.081727117891624,0.5908899079587645
Rural India,person_weight,Forward/General,ST,35.87849785488438,0.013383527669285277,64.10811861744634,0.6411481038128098
Rural India,person_weight,Forward/General,Others,54.558895510620445,0.011774909320351752,45.42932958005921,0.4543521703471939
Rural India,person_weight,OBC,Brahmin,57.02412365736175,0.011061500888529181,42.964814841749714,0.4297034559219398
Rural India,person_weight,OBC,Forward/General,58.08156035371683,0.01370802717597748,41.90473161910718,0.4191158563269517
Rural India,person_weight,OBC,OBC,49.980680069167185,0.038639861665630715,49.980680069167185,0.5
Rural India,person_weight,OBC,SC,49.4056919348608,0.01502840460302073,50.57927966053617,0.5058679386283768
Rural India,person_weight,OBC,ST,43.356612944843896,0.014304688020816669,56.629082367135275,0.5663623471114568
Rural India,person_weight,OBC,Others,61.63295145195398,0.012113513518135837,38.35493503452788,0.3836099179128694
Rural India,person_weight,SC,Brahmin,57.99122794682696,0.011218752560105284,41.997553300612935,0.4200316267689299
Rural India,person_weight,SC,Forward/General,59.081727117891724,0.01452735596964348,40.90374552613864,0.4091100920412346
Rural India,person_weight,SC,OBC,50.57927966053627,0.015028404603020915,49.40569193486071,0.49413206137162224
Rural India,person_weight,SC,SC,49.972217921895115,0.05556415620993502,49.97221792189496,0.4999999999999992
