outcome,group,value,percent
owned_land_acres,Others,2.88,81.8765372240155
owned_land_acres,Others,2.89,81.90653374904674
owned_land_acres,Others,2.9,81.91542909115402
owned_land_acres,Others,2.91,81.92211022298955
owned_land_acres,Others,2.92,81.92782759771573
owned_land_acres,Others,2.93,81.9339795948765
owned_land_acres,Others,2.94,81.94946602783814
owned_land_acres,Others,2.95,81.96987183628593
owned_land_acres,Others,2.96,81.97510682375132
owned_land_acres,Others,2.97,81.98656068984377
owned_land_acres,Others,2.98,82.04941791594054
owned_land_acres,Others,2.99,82.1116265149751
owned_land_acres,Others,3.0,82.36313571460525
owned_land_acres,Others,3.01,82.7666782408106
owned_land_acres,Others,3.02,83.27723711039356
owned_land_acres,Others,3.03,83.61429836141194
owned_land_acres,Others,3.04,83.82022703857238
owned_land_acres,Others,3.05,84.03209764404484
owned_land_acres,Others,3.06,84.1292098543282
owned_land_acres,Others,3.07,84.17788612120745
owned_land_acres,Others,3.08,84.23195154027697
owned_land_acres,Others,3.09,84.26223917907224
owned_land_acres,Others,3.1,84.33513430119572
owned_land_acres,Others,3.11,84.37722941037678
owned_land_acres,Others,3.12,84.46579883865996
owned_land_acres,Others,3.13,84.53901024211284
owned_land_acres,Others,3.14,84.5700850099018
owned_land_acres,Others,3.15,84.67737916036259
owned_land_acres,Others,3.16,84.7345749158571
owned_land_acres,Others,3.17,84.74666517329112
owned_land_acres,Others,3.18,84.76800539453802
owned_land_acres,Others,3.19,84.77518149741701
owned_land_acres,Others,3.2,84.84973205631324
owned_land_acres,Others,3.21,84.90706992823
owned_land_acres,Others,3.22,84.97558527817829
owned_land_acres,Others,3.23,85.01740158963793
owned_land_acres,Others,3.24,85.02737624546319
owned_land_acres,Others,3.25,85.07575730215555
owned_land_acres,Others,3.26,85.10035658924681
owned_land_acres,Others,3.27,85.14072844309871
owned_land_acres,Others,3.28,85.19721021618308
owned_land_acres,Others,3.29,85.22135702257796
owned_land_acres,Others,3.3,85.2877224198682
owned_land_acres,Others,3.31,85.32287690355045
owned_land_acres,Others,3.32,85.33375887688102
owned_land_acres,Others,3.33,85.3953775910219
owned_land_acres,Others,3.34,85.40764578849785
owned_land_acres,Others,3.35,85.41460504870463
owned_land_acres,Others,3.36,85.45578716429115
owned_land_acres,Others,3.37,85.47346092642285
owned_land_acres,Others,3.38,85.50187317998854
owned_land_acres,Others,3.39,85.50408805961045
owned_land_acres,Others,3.4,85.5100071229216
owned_land_acres,Others,3.41,85.51419390806367
owned_land_acres,Others,3.42,85.52527823932937
owned_land_acres,Others,3.43,85.53033049420583
owned_land_acres,Others,3.44,85.55614186730936
owned_land_acres,Others,3.45,85.60034497428155
owned_land_acres,Others,3.46,85.62314071080056
owned_land_acres,Others,3.47,85.63611041399996
owned_land_acres,Others,3.48,85.64043307722096
owned_land_acres,Others,3.49,85.67228244376899
owned_land_acres,Others,3.5,85.76128729770693
owned_land_acres,Others,3.51,85.88712057293777
owned_land_acres,Others,3.52,86.0130995255337
owned_land_acres,Others,3.53,86.07482255120081
owned_land_acres,Others,3.54,86.13281818011575
owned_land_acres,Others,3.55,86.2634813521057
owned_land_acres,Others,3.56,86.29527216390326
owned_land_acres,Others,3.57,86.32377488683422
owned_land_acres,Others,3.58,86.36520966871257
owned_land_acres,Others,3.59,86.38142467591743
owned_land_acres,Others,3.6,86.39852322531056
owned_land_acres,Others,3.61,86.43506653021669
owned_land_acres,Others,3.62,86.47780319812244
owned_land_acres,Others,3.63,86.4977792837787
owned_land_acres,Others,3.64,86.51883104188812
owned_land_acres,Others,3.65,86.57786593060845
owned_land_acres,Others,3.66,86.59839926364543
owned_land_acres,Others,3.68,86.59974064133122
owned_land_acres,Others,3.69,86.61075380728977
owned_land_acres,Others,3.7,86.62765489839083
owned_land_acres,Others,3.71,86.65901529127267
owned_land_acres,Others,3.72,86.67304454897383
owned_land_acres,Others,3.74,86.68909824279433
owned_land_acres,Others,3.75,86.70984541981485
owned_land_acres,Others,3.76,86.71370256339867
owned_land_acres,Others,3.77,86.72186662708816
owned_land_acres,Others,3.78,86.76708457597259
owned_land_acres,Others,3.79,86.77843474634093
owned_land_acres,Others,3.8,86.81493419542576
owned_land_acres,Others,3.81,86.83624876717518
owned_land_acres,Others,3.82,86.85721080559149
owned_land_acres,Others,3.83,86.87590709377503
owned_land_acres,Others,3.84,86.94899410519741
owned_land_acres,Others,3.85,87.00776572511965
owned_land_acres,Others,3.86,87.02107508335544
owned_land_acres,Others,3.87,87.03272881740047
owned_land_acres,Others,3.88,87.03522549343242
owned_land_acres,Others,3.89,87.04613590075706
owned_land_acres,Others,3.9,87.06353699641465
owned_land_acres,Others,3.91,87.06434624073708
owned_land_acres,Others,3.92,87.06675590125049
owned_land_acres,Others,3.93,87.1152093548543
owned_land_acres,Others,3.94,87.11892023204496
owned_land_acres,Others,3.95,87.11922813311055
owned_land_acres,Others,3.96,87.13732714677485
owned_land_acres,Others,3.97,87.14615855255654
owned_land_acres,Others,3.98,87.21230440299999
owned_land_acres,Others,3.99,87.21343761279144
owned_land_acres,Others,4.0,87.31317948559311
owned_land_acres,Others,4.01,87.63274370969143
owned_land_acres,Others,4.02,88.07657541161906
owned_land_acres,Others,4.03,88.24392507589762
owned_land_acres,Others,4.04,88.45117422024546
owned_land_acres,Others,4.05,88.66042913923067
owned_land_acres,Others,4.06,88.78319467566187
owned_land_acres,Others,4.07,88.83206882921732
owned_land_acres,Others,4.08,88.88378215188567
owned_land_acres,Others,4.09,88.96280431779664
owned_land_acres,Others,4.1,89.0421028717685
owned_land_acres,Others,4.11,89.04749114041655
owned_land_acres,Others,4.12,89.09703255574217
owned_land_acres,Others,4.13,89.13165225543446
owned_land_acres,Others,4.14,89.1476283046384
owned_land_acres,Others,4.15,89.17447460015843
owned_land_acres,Others,4.16,89.1978329120853
owned_land_acres,Others,4.17,89.21603355987526
owned_land_acres,Others,4.18,89.22093521096964
owned_land_acres,Others,4.19,89.23118697775396
owned_land_acres,Others,4.2,89.26844201605374
owned_land_acres,Others,4.21,89.28877151858526
owned_land_acres,Others,4.22,89.3281129212796
owned_land_acres,Others,4.23,89.33649811148221
owned_land_acres,Others,4.24,89.34131073900761
owned_land_acres,Others,4.25,89.34548314650863
owned_land_acres,Others,4.26,89.36054352471749
owned_land_acres,Others,4.27,89.37109001975658
owned_land_acres,Others,4.28,89.40723026878085
owned_land_acres,Others,4.29,89.41767815515695
owned_land_acres,Others,4.3,89.42634324081519
owned_land_acres,Others,4.31,89.450334972169
owned_land_acres,Others,4.32,89.45772861384434
owned_land_acres,Others,4.33,89.46128064085916
owned_land_acres,Others,4.34,89.46471440709077
owned_land_acres,Others,4.35,89.51856697281492
owned_land_acres,Others,4.36,89.51889897048567
owned_land_acres,Others,4.37,89.52871565967727
owned_land_acres,Others,4.38,89.53295465413046
owned_land_acres,Others,4.39,89.53625856643441
owned_land_acres,Others,4.4,89.54143799783797
owned_land_acres,Others,4.41,89.56787799782145
owned_land_acres,Others,4.42,89.57843565762094
owned_land_acres,Others,4.43,89.58261307186102
owned_land_acres,Others,4.44,89.59020015572757
owned_land_acres,Others,4.45,89.59518079013877
owned_land_acres,Others,4.46,89.60525204657662
owned_land_acres,Others,4.47,89.60832503308137
owned_land_acres,Others,4.48,89.61421196758567
owned_land_acres,Others,4.49,89.61937399588552
owned_land_acres,Others,4.5,89.70849989510326
owned_land_acres,Others,4.51,89.79477147112082
owned_land_acres,Others,4.52,89.95273743542806
owned_land_acres,Others,4.53,90.02144903883818
owned_land_acres,Others,4.54,90.04697706263934
owned_land_acres,Others,4.55,90.09459463178506
owned_land_acres,Others,4.56,90.1115834077548
owned_land_acres,Others,4.57,90.14307633196488
owned_land_acres,Others,4.58,90.18826282139261
owned_land_acres,Others,4.59,90.2150595850021
owned_land_acres,Others,4.6,90.24910897159887
owned_land_acres,Others,4.61,90.27898876196527
owned_land_acres,Others,4.62,90.30189994799687
owned_land_acres,Others,4.63,90.31961965432234
owned_land_acres,Others,4.64,90.32462103858796
owned_land_acres,Others,4.65,90.3356117679297
owned_land_acres,Others,4.66,90.34222864215154
owned_land_acres,Others,4.68,90.35540546905906
owned_land_acres,Others,4.69,90.3614356444939
owned_land_acres,Others,4.7,90.38273168863137
owned_land_acres,Others,4.71,90.38621097067268
owned_land_acres,Others,4.72,90.42251853045859
owned_land_acres,Others,4.73,90.42317449359835
owned_land_acres,Others,4.74,90.42844094052046
owned_land_acres,Others,4.75,90.4533859603474
owned_land_acres,Others,4.76,90.46117719600744
owned_land_acres,Others,4.77,90.46529369938453
owned_land_acres,Others,4.78,90.49082539122448
owned_land_acres,Others,4.79,90.49871480716345
owned_land_acres,Others,4.8,90.5039908391796
owned_land_acres,Others,4.81,90.50971846834994
owned_land_acres,Others,4.82,90.59437251958687
owned_land_acres,Others,4.83,90.61958327142044
owned_land_acres,Others,4.84,90.64941141472981
owned_land_acres,Others,4.85,90.65065608470701
owned_land_acres,Others,4.86,90.66234695429794
owned_land_acres,Others,4.87,90.66721781528575
owned_land_acres,Others,4.88,90.67763022610428
owned_land_acres,Others,4.89,90.68745360879733
owned_land_acres,Others,4.9,90.69519732059726
owned_land_acres,Others,4.91,90.70396559327348
owned_land_acres,Others,4.92,90.73364457859708
owned_land_acres,Others,4.93,90.74471629930608
owned_land_acres,Others,4.94,90.75173376620126
owned_land_acres,Others,4.95,90.76359556104461
owned_land_acres,Others,4.96,90.81472721843905
owned_land_acres,Others,4.97,90.84798891378799
owned_land_acres,Others,4.98,90.88938888945893
owned_land_acres,Others,4.99,90.91950830717636
owned_land_acres,Others,5.0,91.1178019482261
owned_land_acres,Others,5.01,91.35707074179822
owned_land_acres,Others,5.02,91.81067195711941
owned_land_acres,Others,5.03,92.06497815680352
owned_land_acres,Others,5.04,92.26649761038254
owned_land_acres,Others,5.05,92.53393672760481
owned_land_acres,Others,5.06,92.61839955889302
owned_land_acres,Others,5.07,92.67092948873535
owned_land_acres,Others,5.08,92.73982537762676
